A–o;Material defensa realizado euros;Material defensa realizado pesetas;Productos doble uso pesetas;Productos y tecnolog’as de doble uso realizadas
1991;54.511,80;9070;;
1992;649.597,92;108084;;
1993;512.717,42;85309;;
1994;80.421,43;13381;;
1995;273.316,26;45476;;
1996;2.724.117,41;453255;;
1997;544.060,20;90524;429241;2.579.790,37
1998;4.497.295,45;748287;21861;131.387,26
1999;1.533.710,77;;;128.034,00
2000;4.909.680,00;;;822.731,00
2001;487.980,00;;;100.000,00
2002;1.597.100,00;;;152.560,00
2003;1.005.800,00;;;244.288,00
2004;35.257,00;;;344.057,00
2005;273.728,00;;;41.317,00
2006;441.335,00;;;1.587.319,00
2007;1.515.934,00;;;576.810,00
2008;2.358.989,00;;;801.568,00
2009;790.635,00;;;622.278,00
2010;1.429.035,00;;;214.334,00
2011;472.545,00;;;99.170,00
2012;637.842,00;;;36.399,00
2013;4.884.467,00;;;2.205.276,00
;;;;
;;;;
